account,SW,PAIa11-1,PAIa11-2,PAIa12,PAIa13,PAIa14-1,PAIa14-2,PAIa14-3,PAIa14-4,PAIa14-R1,PAIa14-R2,PAIa14-R3,PAIa14-R4,PAIa15-1,PAIa15-2,PAIa15-R1,PAIa15-R2,PAIa16-1,PAIa16-2,PAIa16-R1,PAIa16-R2,PAIa17-1,PAIa17-2,PAIa17-3,PAIa17-R1,PAIa17-R2,PAIa17-R3,PAIa21-1,PAIa21-2,PAIa21-3,PAIa21-4,PAIa21-R1,PAIa21-R2,PAIa21-R3,PAIa21-R4,PAIa22-1,PAIa22-2,PAIa22-R1,PAIa22-R2,PDIa1-1,PDIa1-2,PDIa1-3,PDIa1-R1,PDIa1-R2,PDIa1-R3,PDIa11-1,PDIa11-2,PDIa11-R1,PDIa11-R2,PDIa12,PDIa12-R,PDIa13,PDIa13-R,PTIa1,PTIa2,PTIa21,PTIa31-1,PTIa31-2,PTIa31-3,PTIa32,PTIa33,PTIa41-1,PTIa41-2,PTIa41-3,PTIa42,PTIa43,CI1a1-1,CI1a1-2,CI1a2,CI2a11-1,CI2a11-2,CI2a12-1,CI2a12-2,CI2a12-3,CI2a12-4,CI2a21-1,CI2a21-2,CI2a22-1,CI2a22-2,CI2a22-3,CI2a22-4,CI2a23-1,CI2a23-2,CI2a31-1,CI2a31-2,CI2a32-1,CI2a32-2,CI2a32-3,CI2a32-4,CI2a33-1,CI2a33-2,CI3a11-1,CI3a11-2,CI3a12-1,CI3a12-2,CI3a12-3,CI3a12-4,CI3a21-1,CI3a21-2,CI3a21-3,CI3a22-1,CI3a22-2,CI3a22-3,CI3a22-4,CI3a22-5,CI3a22-6,CI3a23-1,CI3a23-2,CI3a23-3,CI3a31-1,CI3a31-2,CI3a32-1,CI3a32-2,CI3a32-3,CI3a32-4,CI3a33-1,CI3a33-2,CI4a11,CI4a12-1,CI4a12-2,CI4a13,CI4a21,CI4a22-1,CI4a22-2,CI4a23,CI4a31,CI4a32-1,CI4a32-2,CI4a33,CI4a41,CI4a42-1,CI4a42-2,CI4a43,S1-1,S1-2,S1-3,S1-4,S1-5,S1-6,S2-1,S2-2,S2-3,S3,S4,S5,S6,S7,S8,S9,label
13JwXoHHdtZpWxsyph5avNds19Ys1tG3TW,WA,0.10887158,0.10887158,0.0,1.0,1e-05,0.10886158,1e-05,0.10886158,1e-05,0.10886158,0.10887158,0.10887158,0.10885158,0.10885158,0.10885158,0.0,0.999816,0.999816,0.999816,0.0,0.0544257899999999,0.0544257899999999,0.0544257899999999,0.0544257899999999,0.0,0.0513154840922447,9e-05,0.99991,9e-05,0.99991,9e-05,0.99991,1.0,1.0,0.49991,0.49991,0.49991,0.0,2.0,2.0,4.0,2.0,2.0,4.0,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.0,8.0,3.0,2.6666666666666665,2.0,1.0,1.3333333333333333,1.0,0.4714045207910317,5.7586805555555545,1.2402314814814814,3.4994560185185186,4.5184490740740735,2.259224537037037,0.05443579,0.05443579,0.0,0.0362905266666666,0.0362905266666666,0.10886158,0.10887158,0.0,0.0,0.0045363158333333,0.0045363158333333,0.0,0.0136076975,0.0,0.0136089475,0.0064144355115305,0.0064153193747078,8.063010937325023e-06,0.0,8.063010937325023e-06,8.063010937325023e-06,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,2.0,0.0,0.0,0.0833333333333333,0.0833333333333333,0.1666666666666666,0.0,0.125,0.0,0.25,0.125,0.25,0.0589255650988789,0.1178511301977579,0.0589255650988789,0.8063010937325021,0.0,0.8063010937325021,0.8063010937325021,0.0,0.0,0.0,0.0,0.0045363158333333,0.0,0.0136076975,0.0064144355115305,0.0022681579166666,0.0,0.00680447375,0.0032076596873539,-5.079117361603644e-07,-5.079117361603644e-07,-5.079117361603644e-07,0.0,0.0,0.0,0.0,0.0,2.023494860499266,0.1481135335443562,1.011747430249633,0.062773449925532,1.011747430249633,0.1149175984512895,39,4,41,-0.1601956330957532,2.161040757228681e-05,2.4846979332273453,8,0.3571428571428571,0.0009922820769227,0.0007433853271488,blackmail
13K332SEysdGVkSC5turTLz9MLekfXmUMy,WA,0.28979481,0.28979481,0.0,1.0,0.14119681,0.148598,0.14119681,0.148598,0.14119681,0.148598,0.28979481,0.28979481,0.00740119,0.00740119,0.00740119,0.0,0.025539,0.025539,0.025539,0.0,0.003700595,0.003700595,0.003700595,0.003700595,0.0,0.0683720884991271,0.48723,0.51277,0.48723,0.51277,0.48723,0.51277,1.0,1.0,0.0127699999999999,0.0127699999999999,0.0127699999999999,0.0,2.0,2.0,4.0,2.0,2.0,4.0,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,0.7295949074074074,0.1021527777777777,0.4158738425925926,0.6274421296296296,0.3137210648148148,0.144897405,0.144897405,0.0,0.144897405,0.144897405,0.148598,0.28979481,0.14119681,0.0,0.0724487025,0.0724487025,0.070598405,0.074299,0.0,0.144897405,0.0018502975,0.0724487025,0.2036719260117074,0.0,0.2036719260117074,0.2036719260117074,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.5,0.5,1.0,0.5,0.5,0.0,1.0,0.5,1.5,0.0,0.5,0.5,1.370623602011517,0.0,1.370623602011517,1.370623602011517,0.0,0.0,0.0,0.0,0.0724487025,0.070598405,0.074299,0.0018502975,0.03622435125,0.0,0.0724487025,0.03622435125,5.8705125561178385e-08,5.8705125561178385e-08,5.8705125561178385e-08,0.0,0.0,0.0,0.0,0.0,2.0,0.8934996553518019,1.0,0.2964510545574673,1.0,0.5975291790548491,886,1791,2677,-0.2904780623537598,8.997000999666777e-06,2.0259753925017017,5,0.5,0.0004389568609525,0.0003332222592469,blackmail
12iPSuHtkZ9ap9Yh8pidCsDRWtkt7sAg1u,WA,0.09321844,0.09321844,0.0,1.0,0.0352906,0.05792784,0.0352906,0.05792784,0.0352906,0.05792784,0.09321844,0.09321844,0.02263724,0.02263724,0.02263724,0.0,0.2428409999999999,0.2428409999999999,0.2428409999999999,0.0,0.01131862,0.01131862,0.01131862,0.01131862,0.0,0.0238362602637317,0.37858,0.62142,0.37858,0.62142,0.37858,0.62142,1.0,1.0,0.1214199999999999,0.1214199999999999,0.1214199999999999,0.0,2.0,2.0,4.0,2.0,2.0,4.0,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.0,44.0,3.0,14.666666666666664,2.0,1.0,1.3333333333333333,1.0,0.4714045207910317,42.19361111111111,1.5580555555555555,21.87583333333333,40.63555555555556,20.31777777777777,0.04660922,0.04660922,0.0,0.0310728133333333,0.0310728133333333,0.05792784,0.09321844,0.0,0.0,0.0007062003030303,0.0007062003030303,0.0,0.0013165418181818,0.0,0.0021186009090909,0.0005417331878119,0.0009987180462974,0.0371795728293813,0.0,0.0371795728293813,0.0371795728293813,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,2.0,0.0,0.0,0.0151515151515151,0.0151515151515151,0.0303030303030303,0.0,0.0227272727272727,0.0,0.0454545454545454,0.0227272727272727,0.0454545454545454,0.0107137391088869,0.0214274782177741,0.0107137391088869,0.6418256373685148,0.0,0.6418256373685148,0.6418256373685148,0.0,0.0,0.0,0.0,0.0007062003030303,0.0,0.0013165418181818,0.0005417331878119,0.0003531001515151,0.0,0.0010593004545454,0.0004993590231487,8.408079277351878e-08,8.408079277351878e-08,8.408079277351878e-08,0.0,0.0,0.0,0.0,0.0,2.006662225183211,0.3004172098476503,1.0033311125916056,0.2349537322774931,1.0033311125916056,0.1155833509342316,307,305,612,-0.1689333954789292,0.0001386204598467,2.609618110129794,7,0.4,0.0004703392134709,0.0003343322601104,blackmail
32GB9EqhT5fi8EHNMy151rWMegVmSJgCkA,SA,0.00667269,0.00667269,0.0,1.0,0.00667269,0.00667269,0.00667269,0.00667269,0.00667269,0.00667269,0.00667269,0.00667269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.0,56.0,2.0,28.0,1.0,1.0,1.0,0.0,0.0,55.12278935185186,55.12278935185186,55.12278935185186,0.0,0.0,0.00667269,0.00667269,0.0,0.003336345,0.003336345,0.00667269,0.00667269,0.0,0.0,5.9577589285714296e-05,5.9577589285714296e-05,0.0,0.0001191551785714,0.0,0.0001191551785714,5.9577589285714296e-05,5.9577589285714296e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0089285714285714,0.0089285714285714,0.0178571428571428,0.0,0.0178571428571428,0.0,0.0178571428571428,0.0178571428571428,0.0178571428571428,0.0089285714285714,0.0089285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9577589285714296e-05,0.0,0.0001191551785714,5.9577589285714296e-05,5.9577589285714296e-05,0.0,0.0001191551785714,5.9577589285714296e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9606928714190537,1.9604443341170508,1.9803464357095268,0.9803274675642262,1.9803464357095268,0.9801835927175986,2944,2944,5888,-0.3290023093620589,0.0006551149616794,2.0196599630003345,5,0.3335218276408052,8.996677670804017e-05,0.0006598955133987,darknet market
32hBCsqBBFWxKN3eD8S9sGGJZZUfXFCHvK,SA,0.00486973,0.00486973,0.0,1.0,0.00486973,0.00486973,0.00486973,0.00486973,0.00486973,0.00486973,0.00486973,0.00486973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.0,19.0,2.0,9.5,1.0,1.0,1.0,0.0,0.0,18.197060185185187,18.197060185185187,18.197060185185187,0.0,0.0,0.00486973,0.00486973,0.0,0.002434865,0.002434865,0.00486973,0.00486973,0.0,0.0,0.0001281507894736,0.0001281507894736,0.0,0.0002563015789473,0.0,0.0002563015789473,0.0001281507894736,0.0001281507894736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0263157894736842,0.0263157894736842,0.0526315789473684,0.0,0.0526315789473684,0.0,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0263157894736842,0.0263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001281507894736,0.0,0.0002563015789473,0.0001281507894736,0.0001281507894736,0.0,0.0002563015789473,0.0001281507894736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9780146568954033,1.9776991507142505,1.9890073284477008,0.9888540358674224,1.9890073284477008,0.9888468541554272,2970,2970,5940,-0.3308935197859544,0.000993335554815,2.0097127823537617,5,0.3334824924488198,0.000108046036659,0.000662781515644,darknet market
32Ao5fpcT482U5w21tBLvS62he7ymBHwEV,SA,0.06716359,0.06716359,0.0,1.0,0.06716359,0.06716359,0.06716359,0.06716359,0.06716359,0.06716359,0.06716359,0.06716359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.0,30.0,2.0,15.0,1.0,1.0,1.0,0.0,0.0,28.56262731481481,28.56262731481481,28.56262731481481,0.0,0.0,0.06716359,0.06716359,0.0,0.033581795,0.033581795,0.06716359,0.06716359,0.0,0.0,0.0011193931666666,0.0011193931666666,0.0,0.0022387863333333,0.0,0.0022387863333333,0.0011193931666666,0.0011193931666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0166666666666666,0.0166666666666666,0.0333333333333333,0.0,0.0333333333333333,0.0,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0166666666666666,0.0166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011193931666666,0.0,0.0022387863333333,0.0011193931666666,0.0011193931666666,0.0,0.0022387863333333,0.0011193931666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9586942038640895,1.9584523115760688,1.9793471019320448,0.9792816512866034,1.9793471019320448,0.979194511464362,2941,2941,5882,-0.3287866575919369,0.0006568921470619,2.01114890472231,5,0.3334837036201646,9.048557678642372e-05,0.0006595625131396,darknet market
18htqop3WTML6yUFSSyiaLPT1hzLwbWwTW,SA,0.01002675,0.01002675,0.0,1.0,0.01002675,0.01002675,0.01002675,0.01002675,0.01002675,0.01002675,0.01002675,0.01002675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0246875,0.0246875,0.0246875,0.0,0.0,0.01002675,0.01002675,0.0,0.01002675,0.01002675,0.01002675,0.01002675,0.01002675,0.01002675,0.01002675,0.01002675,0.01002675,0.01002675,0.01002675,0.01002675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01002675,0.01002675,0.01002675,0.0,0.01002675,0.01002675,0.01002675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000666222518321,0.9683450912258202,1.0003331112591605,0.0274831923086569,1.0003331112591605,0.9675280030391978,2,2905,2907,-0.3199747062439813,0.0006480062201488,2.9844005064770625,5,0.3338292515449759,0.0005663586990455,0.0003333332593332,exchange
18HwDNUP3ANytDqHiZ4CiQe72m8w6qvcL2,SA,0.39830473,0.40068008,0.0023753499999999,1.005963649992306,0.39830473,0.39830473,0.00237535,0.39830473,0.39830473,0.39830473,0.00237535,0.39830473,0.0,0.39592938,0.0,0.39592938,0.0,0.988143,0.0,0.988143,0.0,0.19796469,0.1866428996459902,0.0,0.19796469,0.1866428996459903,1.0,1.0,0.00593,0.99407,1.0,1.0,0.00593,0.99407,0.0,0.49407,0.0,0.49407,1.0,2.0,3.0,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.5,-1.0,-1.0,24.0,2.0,12.0,2.0,1.0,1.5,1.0,0.5,22.65077546296296,0.0383912037037037,11.344583333333333,22.612384259259247,11.306192129629624,0.39830473,0.20034004,-0.0023753499999999,0.199152365,0.20034004,0.39830473,0.39830473,0.0,0.00237535,0.0082980152083333,0.0083475016666666,0.0,0.0165960304166666,9.897291666666669e-05,0.0165960304166666,0.0082980152083333,0.00824852875,0.0,0.0175548417379806,0.0,0.0,0.0175548417379806,0.0175548417379806,0.0,0.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0208333333333333,0.0416666666666666,0.0625,0.0,0.0416666666666666,0.0416666666666666,0.0416666666666666,0.0416666666666666,0.0833333333333333,0.0208333333333333,0.0,0.0208333333333333,0.0,0.0440738972343629,0.0,0.0,0.0440738972343629,0.0440738972343629,0.0,0.0,0.0082980152083333,0.0,0.0165960304166666,0.0082980152083333,0.0083475016666666,9.897291666666669e-05,0.0165960304166666,0.00824852875,0.0,0.0,0.0,0.0,1.0098466901727457e-07,1.0098466901727457e-07,1.0098466901727457e-07,0.0,1.9993337774816788,0.3886185079417142,0.9996668887408394,0.1705311678234219,0.9996668887408394,0.2278678240240752,368,510,878,-0.2167350692005096,4.731756081306231e-05,2.7086206096060543,5,0.3364928909952606,0.0002201929296249,0.0003331112591605,exchange
18hWwgBR5StJ1SbNoeWwRdCz3LjP5aTPUm,SA,0.0,5.46e-06,5.46e-06,0.0,0.0,0.0,5.46e-06,5.46e-06,0.0,0.0,5.46e-06,5.46e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.46e-06,-5.46e-06,0.0,5.46e-06,0.0,5.46e-06,0.0,5.46e-06,0.0,5.46e-06,0.0,0.0,5.46e-06,5.46e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.46e-06,5.46e-06,5.46e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9980013324450367,1.997668581903844,1.9990006662225184,0.998834374271378,1.9990006662225184,0.9988342631787684,3000,3000,6000,-0.333111111080274,0.0,1.9996666667036789,3,0.3334444444444445,4.9966688874083945e-05,0.0006661115182347,exchange
126cYQPMoLR92Jx59aX2hQ1D4eHbN7cc8A,SA,0.01,0.01,0.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.0,230.0,2.0,115.0,1.0,1.0,1.0,0.0,0.0,229.0828240740741,229.0828240740741,229.0828240740741,0.0,0.0,0.01,0.01,0.0,0.005,0.005,0.01,0.01,0.0,0.0,2.173913043478261e-05,2.173913043478261e-05,0.0,4.347826086956522e-05,0.0,4.347826086956522e-05,2.173913043478261e-05,2.173913043478261e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0021739130434782,0.0021739130434782,0.0043478260869565,0.0,0.0043478260869565,0.0,0.0043478260869565,0.0043478260869565,0.0043478260869565,0.0021739130434782,0.0021739130434782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.173913043478261e-05,0.0,4.347826086956522e-05,2.173913043478261e-05,2.173913043478261e-05,0.0,4.347826086956522e-05,2.173913043478261e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01798800799467,0.5922934601929041,1.008994003997335,0.1489453485979177,1.008994003997335,0.4784153549438827,328,1412,1666,-0.2071751550808567,1.7771853826502274e-06,2.00551308214797,5,0.4,0.0002163952019,0.0003362192615785,gambling
124qqv8QRsKpc9RZPmi3G3Ebemj3rxTZ2j,SA,0.00186964,0.00186964,0.0,1.0,0.00186964,0.00186964,0.00186964,0.00186964,0.00186964,0.00186964,0.00186964,0.00186964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.0,36.0,2.0,18.0,1.0,1.0,1.0,0.0,0.0,35.40833333333333,35.40833333333333,35.40833333333333,0.0,0.0,0.00186964,0.00186964,0.0,0.00093482,0.00093482,0.00186964,0.00186964,0.0,0.0,2.5967222222222226e-05,2.5967222222222226e-05,0.0,5.193444444444445e-05,0.0,5.193444444444445e-05,2.5967222222222226e-05,2.5967222222222226e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0138888888888888,0.0138888888888888,0.0277777777777777,0.0,0.0277777777777777,0.0,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0138888888888888,0.0138888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5967222222222226e-05,0.0,5.193444444444445e-05,2.5967222222222226e-05,2.5967222222222226e-05,0.0,5.193444444444445e-05,2.5967222222222226e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0039973351099265,0.4078677635999905,1.0019986675549633,0.2272849118032424,1.0019986675549633,0.1923982083229472,476,420,855,-0.1976987048680958,0.0008737087637454,2.5021727940866247,6,0.375,0.0004255166585579,0.000333888259765,gambling
