S2-2,S1-6,S1-2,S3,PAIa21-1,PTIa41-2,S6,S5,CI3a32-2,S7,label
42,0.0754340702963449,0.1540508981295552,-0.209003522876564,0.0152,0.053125,8,4.432435762665527,18.823529411764707,0.4,0
1345,0.4929471260144799,0.97938183005258,-0.2879577329909752,1.0,0.0018055555555555,6,2.5845686039731004,0.0,0.5,0
2175,0.7297368557612572,1.3961262715333391,-0.2777700722657941,0.0160699999999999,0.0469328703703703,5,1.99952797467648,5.364460449521918,0.4259259259259259,0
485,0.1613933503082006,0.9832898196473472,-0.3263135147753777,1.0,0.0053587962962962,5,2.0173802181338814,0.0,0.3340192043895747,0
81,0.374717156749751,0.8296785328614169,-0.1726959140544623,1.0,1.9481134259259256,8,2.697183858437634,0.0,0.2925430210325048,0
381,0.1294731945300881,0.3611746440277578,-0.1330435482917616,0.05596,0.007349537037037,5,3.322100379417692,5.060918462980318,0.3396065012831479,1
381,0.1361830368166361,0.3795852126735262,-0.1547704430405536,1.0,0.6540509259259261,5,3.3168846173020943,0.0,0.3344947735191638,1
381,0.1294731945300881,0.3611746440277578,-0.1330435482917616,0.05596,0.007349537037037,5,3.322100379417692,5.060918462980318,0.3396065012831479,1
381,0.1361830368166361,0.3795852126735262,-0.1547704430405536,1.0,0.6540509259259261,5,3.3168846173020943,0.0,0.3344947735191638,1
381,0.1361830368166361,0.3795852126735262,-0.1547704430405536,1.0,0.6540509259259261,5,3.3168846173020943,0.0,0.3344947735191638,1
2680,0.8927657830082341,1.7875857912576656,-0.3112433454064393,1.0,0.0665856481481481,5,2.067536961072565,0.0,0.3334936861094408,2
2974,0.9901800800828072,1.9803608885786608,-0.3311893367338497,1.0,0.4194560185185185,5,2.0090314914512284,0.0,0.3334822425731517,2
2941,0.9792181952263344,1.9584466457106904,-0.3287814874889483,1.0,3.764375,5,2.0191834604378154,0.0,0.3334831460674157,2
2748,0.9154689742781026,1.8316502161172403,-0.3155334259854057,1.0,0.0627083333333333,5,2.0707811247786103,0.0,0.3334895162234977,2
2973,0.9898470260820218,1.9796968546938667,-0.3311167443067928,1.0,0.3157175925925926,5,2.0087018481848258,0.0,0.3334822924812869,2
2998,0.9981680962160622,1.996336136848745,-0.3328890615349194,1.0,0.0369907407407407,5,2.001331777333852,0.0,0.3334445185679341,3
1184,0.4030812787572755,0.7374210575990118,-0.2518091384861831,1.0,1.3704861111111108,5,2.2559996337630417,0.0,0.3397590361445783,3
2097,0.6991455096830503,0.9825650861229372,-0.3127058328329158,1.0,0.3014930555555556,5,2.068812452766815,0.0,0.3334922148077534,3
2996,0.997502095948186,1.9950040806553888,-0.3327409792955611,0.5,0.0128587962962962,5,2.0019984408868905,0.0163095122587504,0.3335187451329403,3
1890,0.6344086221307731,0.6598549802987286,-0.2296679707054619,0.14363,1.4379282407407408,5,2.4501706996480146,0.085699237336301,0.337465564738292,3
1065,0.3608086865755039,0.514560355408581,-0.1679324727775507,1.0,118.8151851851852,5,2.0713562367058467,0.0,0.3555555555555555,6
84,0.0323220923349533,0.2525418370190697,-0.2280133559839611,1.0,2.5413888888888887,7,3.760005747297283,0.0,0.2742616033755274,6
2240,0.7486375224480301,0.7597535407729404,-0.2494598613131633,1.0,163.05949074074073,5,2.2958192198209373,0.0,0.3456790123456789,6
83,0.032291180172171,0.2636814967121693,-0.2513729245732532,1.0,1.8147222222222217,7,3.45862784892808,0.0,0.28125,6
203,0.0989116095056158,0.2738778295852273,-0.2056712615132984,1.0,68.34809027777777,7,3.5971676793417453,0.0,0.2727272727272727,6
71,0.0242233963526953,0.2185864813045885,-0.1878959698259054,1.0,30.80017361111112,5,2.3791190775452207,0.0,0.4545454545454546,7
71,0.0242233963526953,0.2185864813045885,-0.1878959698259054,1.0,30.80017361111112,5,2.3791190775452207,0.0,0.4545454545454546,7
133,0.0606921035397241,0.3057612987606645,-0.1431632947402664,1.0,10.815370370370369,5,2.078738266753984,0.0,0.4545454545454546,7
133,0.0606921035397241,0.3057612987606645,-0.1431632947402664,1.0,10.815370370370369,5,2.078738266753984,0.0,0.4545454545454546,7
66,0.0239377004972973,0.2133301304515609,-0.1658471653333271,1.0,65.65905092592592,7,4.018525303196837,0.0,0.2710280373831775,7
71,0.0242233963526953,0.2185864813045885,-0.1878959698259054,1.0,30.80017361111112,5,2.3791190775452207,0.0,0.4545454545454546,8
66,0.0239377004972973,0.2133301304515609,-0.1658471653333271,1.0,65.65905092592592,7,4.018525303196837,0.0,0.2710280373831775,8
522,0.1737177610791821,0.9705852645271948,-0.3211163123819776,1.0,100.130625,5,2.00339650720007,0.0,0.5,8
71,0.0242233963526953,0.2185864813045885,-0.1878959698259054,1.0,30.80017361111112,5,2.3791190775452207,0.0,0.4545454545454546,8
133,0.0606921035397241,0.3057612987606645,-0.1431632947402664,1.0,10.815370370370369,5,2.078738266753984,0.0,0.4545454545454546,8
1,0.0150983554728951,0.9629260977322192,-0.3215895315855331,0.0,0.0,4,1.6810933940774488,0.0,0.375,9
297,0.1728461427400789,0.2569233657086048,-0.1196359313457077,3e-05,0.0063194444444444,5,2.7470184337498456,16.13144137415982,0.350907029478458,9
297,0.1728461427400789,0.2569233657086048,-0.1196359313457077,3e-05,0.0063194444444444,5,2.7470184337498456,16.13144137415982,0.350907029478458,9
33,0.1298599967432293,0.1514934921698708,-0.1740563588932899,0.0,0.0037268518518518,4,2.7937623740351034,268.3229813664596,0.607843137254902,9
317,0.1725426015823951,0.2349923830839111,-0.1831707591347126,0.4994,188.9315740740741,5,1.9762952657418429,0.0052929215505711,0.5,9
443,0.2134447920504478,0.4134303943400094,-0.254227186795002,1.0,0.1741550925925926,5,2.022688538559864,0.0,0.3592486923442701,10
2043,0.6857288442231944,0.6998598584791532,-0.2332574380699731,1.0,0.2956134259259259,5,2.494642599277978,0.0,0.3452637631162857,10
216,0.1975922656647236,0.3745598745034112,-0.272468843554948,1.0,0.0369791666666666,5,2.0194581939799328,0.0,0.3928325292901447,10
1848,0.615788125782865,0.7006903287756638,-0.2878634796653761,1.0,0.1532638888888889,5,2.1927180966113915,0.0,0.34,10
370,0.169333595332253,0.3543696378819349,-0.2228499701219806,1.0,0.1842245370370368,5,2.0294197125149283,0.0,0.3466312056737589,10
23,0.0228053516569688,0.1015295569571957,-0.1183319151558189,0.26262,0.0040972222222222,7,5.373950300833324,0.0286341984462633,0.289419795221843,11
19,0.140285748637519,0.1710923564179421,-0.1396666250943667,1.0,0.5110532407407408,8,3.7572208827436895,0.0,0.2899408284023668,11
2661,0.8865352358226272,0.8874920433180491,-0.287309749063801,1.0,0.4901504629629629,5,1.9137705530642748,0.0,0.3529411764705882,11
268,0.0907449540614733,1.0142964169918465,-0.3254703165239535,1.0,0.5861111111111111,5,1.9980130149524968,0.0,0.3349814585908529,11
16,0.0356397908863065,0.0841948171443128,-0.1221691902870047,0.08227,0.0086458333333333,7,3.9712282960499263,0.0282089933797018,0.2909647779479326,11
15,0.3076052463208957,0.3289438896350775,-0.1737897550411498,0.01044,0.9902777777777778,8,2.2217760761975907,1.0098176718092566,0.3333333333333333,12
10,0.7274178114332109,0.7326554198261277,-0.2290326917121189,0.01095,0.6383912037037037,8,3.063927507447865,0.3823888682351691,0.3571428571428571,12
211,0.0962292069525077,0.4998483792976537,-0.1530562972345282,0.0002,0.0082638888888888,6,2.0132551037743283,121.0084033613445,0.5098039215686274,12
211,0.0962292069525077,0.4998483792976537,-0.1530562972345282,0.0002,0.0082638888888888,6,2.0132551037743283,121.0084033613445,0.5098039215686274,12
373,0.1671564728722331,0.3913667379674057,-0.1917389281782571,0.04304,0.2132291666666666,6,2.067837345649059,4.689789936492428,0.3692307692307692,12
